t,eyebrows_interp,pitch
1.172,0.4276484095985973,
1.174,0.4186004805730319,
1.176,0.40955255154746645,
1.178,0.400504622521901,
1.18,0.3914566934963356,
1.182,0.38240876447077016,
1.184,0.3733608354452047,
1.186,0.3643129064196393,
1.188,0.35526497739407387,
1.19,0.3462170483685084,
1.192,0.337169119342943,
1.194,0.3281211903173776,
1.196,0.3190732612918121,
1.198,0.31002533226624673,
1.2,0.3009774032406813,
1.202,0.30097740324067396,
1.204,0.3009774032406666,
1.206,0.30097740324065925,
1.208,0.3009774032406519,
1.21,0.3009774032406446,
1.212,0.3009774032406372,
1.214,0.3009774032406299,
1.216,0.30097740324062255,
1.218,0.30097740324061517,
1.22,0.30097740324060784,
1.222,0.3009774032406005,
1.224,0.30097740324059313,
1.226,0.3009774032405858,
1.228,0.3009774032405785,
1.23,0.30097740324057115,
1.232,0.30097740324056377,
1.234,0.3044242333455381,
1.236,0.3147647236604768,
1.238,0.3251052139754156,
1.24,0.3354457042903543,
1.242,0.34578619460529303,
1.244,0.3561266849202318,
1.246,0.36646717523517053,
1.248,0.37680766555010925,
1.25,0.387148155865048,
1.252,0.39748864617998675,
1.254,0.40782913649492547,
1.256,0.4181696268098642,
1.258,0.4285101171248029,
1.26,0.4388506074397417,
1.262,0.44919109775468047,
1.264,0.45953158806961913,
1.266,0.4698720783845579,
1.268,0.4784891536470061,
1.27,0.4862445213832092,
1.272,0.4939998891194123,
1.274,0.5017552568556154,
1.276,0.5095106245918185,
1.278,0.5172659923280216,
1.28,0.5250213600642246,
1.282,0.5327767278004277,
1.284,0.5405320955366308,
1.286,0.548287463272834,
1.288,0.556042831009037,
1.29,0.5637981987452401,
1.292,0.5715535664814432,
1.294,0.5793089342176463,
1.296,0.5870643019538493,
1.298,0.5948196696900524,
1.3,0.6025750374262555,
1.302,0.599989914847531,
1.304,0.5974047922688064,
1.306,0.5948196696900818,
1.308,0.5922345471113573,
1.31,0.5896494245326326,
1.312,0.587064301953908,
1.314,0.5844791793751835,
1.316,0.5818940567964589,
1.318,0.5793089342177343,
1.32,0.5767238116390098,
1.322,0.5741386890602852,
1.324,0.5715535664815605,
1.326,0.568968443902836,
1.328,0.5663833213241114,
1.33,0.5637981987453868,
1.332,0.5612130761666623,
