eyebrow,pitch
1.059266251450271,0.24809886925588753
1.063143980253628,0.22835646983025215
1.067021709056985,0.20857952995738938
1.0708994378603416,0.18893947141193976
1.0747771666636985,0.16960771596853513
2.327714428903819,0.04295641510721357
2.340640191581675,0.03972416303522911
2.3535659542595284,0.05273266200038365
2.366491716937385,0.0801480120061994
2.3794174796152383,0.12013631305619564
2.3923432422930944,0.17086366515389165
2.405269004970948,0.23049616830280964
2.4181947676488043,0.29719992250646593
2.4311205303266576,0.36914102776838276
2.4440462930045137,0.4444855840920809
2.4569720556823675,0.5213996914810781
2.4698978183602236,0.5986162851603904
2.482823581038077,0.6715789219415078
2.4595572082179356,0.7370975289736951
2.436290835397799,0.7935063886329541
2.413024462577658,0.841131228659482
2.389758089757522,0.8776318278009517
2.3664917169373805,0.9017230340479819
2.3432253441172444,0.912680255619325
2.319958971297103,0.9099801621976862
2.2966925984769664,0.8996049247503616
2.2734262256568254,0.8920511244612342
2.250159852836689,0.892646575102949
2.2268934800165474,0.8980029162296539
2.2036271071964113,0.9043221919701991
2.18036073437627,0.9112889865637405
2.1570943615561338,0.9188231943555711
2.1338279887359923,0.9269378367974036
2.110561615915856,0.935564064340524
2.085140949316072,0.9444807395109629
2.0554116951570065,0.9533403475032275
2.025682440997935,0.9617163474555278
1.99595318683887,0.9691666853974276
1.9662239326797983,0.9752863139241518
1.936494678520733,0.9797527238274429
1.9067654243616616,0.9823272047718747
1.8770361702025964,0.9829039665342988
1.8473069160435247,0.9814896337546619
1.8175776618844597,0.9782633014212061
1.787848407725388,0.9735465770235087
1.7581191535663228,0.9678137412036245
1.728389899407251,0.9614753746276158
1.698660645248186,0.9546923269286717
1.6689313910891144,0.9471119423885734
1.6392021369300491,0.937929513056783
1.6094728827709777,0.9260240148085255
1.5948236850694075,0.9103547981223585
1.5877145155965835,0.8901078904878946
1.580605346123761,0.8648686072541387
1.573496176650937,0.834476423919789
1.5663870071781143,0.7989136704060812
1.5592778377052905,0.7580731258681653
1.5521686682324678,0.7118596834957962
1.5450594987596438,0.66064978979865
1.5379503292868213,0.6059494455658141
1.530841159813997,0.5509711178532923
1.5237319903411746,0.49627898358827044
1.5166228208683503,0.44273988087865507
1.509513651395528,0.3920206020530908
1.502404481922704,0.3475985578554962
1.4952953124498811,0.3106950343562116
1.488186142977057,0.2828914024974513
1.4810769735042348,0.26576903322144596
1.488832431110953,0.26090929747040986
1.4965878887176696,0.26989356618657356
1.5043433463243876,0.2943032103121573
1.512098803931104,0.33571960078937985
1.5198542615378223,0.39572410856047174
1.5276097191445388,0.475898104567643
1.877467028958539,0.6170773028552763
1.897501961109217,0.6567834696896628
1.9175368932598909,0.6940283259055942
1.9375718254105692,0.7288790444131159
1.9601919100968128,0.7614027981222946
1.984104571050847,0.7916667599431836
2.0080172320048755,0.8197381027858285
2.03192989295891,0.8456839995602872
2.055842553912938,0.8695716231766215
2.079755214866972,0.8914681465448789
2.103667875821001,0.9114407425751185
2.1275805367750347,0.9292139772425445
2.1514931977290632,0.9465355598388839
2.1754058586830975,0.9642356839035742
2.199318519637126,0.9817941012799685
2.22323118059116,0.9971717214596427
2.2471438415451885,1.010159299620416
2.2710565024992224,1.0206452773672703
2.2949691634532514,1.0286541685335884
2.3188818244072853,1.0332140691283709
2.342794485361314,1.0311292371226464
2.3298687226834622,1.018622060334445
2.316942960005608,0.99437024460982
2.3040171973277563,0.9605455934380976
2.2910914346499016,0.9208046701304097
2.27816567197205,0.8784355154522613
2.2652399092941957,0.8357185762898818
2.252314146616344,0.7941771356102433
2.2393883839384894,0.7550839336738129
2.226462621260638,0.7197445249235344
2.2135368585827835,0.6896612885482002
2.200611095904932,0.6665709145395304
2.1876853332270776,0.6523664113200959
2.174759570549226,0.6487955504601639
2.1618338078713712,0.6570403464000939
2.1489080451935196,0.677332357869319
2.135982282515666,0.7089112176586019
2.121548514192062,0.7502248155559164
2.104098734576951,0.7992189879950578
2.0866489549618437,0.8535552111215142
2.0691991753467325,0.9107264257452612
2.0517493957316253,0.9678905025883457
2.034299616116514,1.0217311939454672
2.016849836501407,1.0686075656779621
1.999400056886296,1.1063245551912915
1.9819502772711888,1.1368685359873913
1.9645004976560776,1.1654893307885326
1.9470507180409704,1.1963712609872792
1.9296009384258592,1.2297037076899147
1.9121511588107525,1.26321679764854
1.894701379195641,1.294392403239341
1.877251599580534,1.3215984810381527
1.8598018199654227,1.3442086797083383
1.8423520403503155,1.3623670150277651
1.8434291872401312,1.3767197158838014
1.8537697973824143,1.3881247349452652
1.8641104075247,1.397373219628208
1.8744510176669829,1.404904078137718
1.884791627809268,1.4106889876487276
1.8951322379515512,1.414295612076719
1.9054728480938368,1.4151691038396448
1.91581345823612,1.4128341066094532
1.9261540683784053,1.4070698102079322
1.9364946785206885,1.3980149071375232
1.9468352886629736,1.3863207874769334
1.9571758988052568,1.373182135552463
1.9675165089475424,1.3604805094253372
1.9778571190898253,1.3506215427870876
1.988197729232111,1.346157899392158
1.9985383393743936,1.3487385727043444
2.0088789495166792,1.357895806015289
2.016634407123392,1.3711710455414816
2.0243898647301064,1.3857659583458057
2.0321453223368193,1.4000338553088025
2.039900779943534,1.413253927608378
2.0476562375502465,1.425058385180274
2.055411695156961,1.435057565073501
2.063167152763674,1.4428956931156118
